id1,id2
1,2
1,24
1,30
1,356
1,462
1,474
1,559
1,1005
1,1028
1,1255
1,1279
1,1416
1,1497
1,2426
1,2842
1,3079
2,30
2,262
2,356
2,477
2,1005
2,1028
2,1280
2,1505
3,3
3,215
3,401
3,974
4,59
4,69
4,142
4,145
4,162
4,171
4,234
4,236
4,272
4,352
4,465
4,476
4,478
4,499
4,531
4,628
4,646
4,670
4,832
4,837
4,1204
4,1231
4,1295
4,1417
4,1424
4,1688
5,1120
5,2657
6,1774
6,2160
7,12
7,69
7,91
7,296
7,327
7,362
7,437
7,568
7,708
7,792
7,846
7,1050
7,1074
7,1546
7,2442
7,3132
7,3316
7,3888
8,236
8,704
8,1007
8,1087
8,1546
8,1696
8,2663
8,3136
9,226
9,856
10,869
11,77
11,171
11,204
11,224
11,465
11,625
11,746
11,759
11,851
11,899
11,1044
12,64
12,77
12,88
12,116
12,229
12,322
12,380
12,433
12,437
12,525
12,539
12,542
12,592
12,708
12,742
12,744
12,816
12,824
12,832
12,840
12,848
12,982
12,1014
12,1039
12,1139
12,1204
12,1398
12,1623
12,1700
12,2554
12,2556
12,3164
12,3337
12,3342
13,83
13,102
13,131
13,149
13,180
13,183
13,191
13,208
13,231
13,278
13,296
13,341
13,352
13,354
13,362
13,368
13,406
13,478
13,495
13,517
13,526
13,529
13,539
13,542
13,595
13,600
13,611
13,650
13,670
13,694
13,757
13,768
13,792
13,795
13,803
13,816
13,844
13,861
13,947
13,971
13,1039
13,1148
13,1302
13,1378
13,1426
13,1446
13,1503
13,1546
13,1623
13,1680
13,1747
13,2067
13,2807
13,3241
13,3277
13,3903
14,31
14,54
14,76
14,132
14,488
14,583
14,987
14,1011
14,1492
14,2442
14,3604
15,28
15,164
15,255
15,458
15,480
15,1522
16,224
16,1055
17,19
17,83
17,91
17,191
17,325
17,451
17,486
17,665
17,769
17,1008
17,1009
17,1070
17,1277
17,1399
17,2610
17,2745
17,2758
17,2894
18,183
19,451
19,744
19,769
19,848
19,1070
19,2441
19,2610
20,77
20,81
20,91
20,142
20,145
20,200
20,422
20,495
20,496
20,678
20,736
20,851
20,937
20,953
20,971
20,1031
20,1082
20,1099
20,1250
20,1313
20,1372
20,1518
20,1672
20,2571
20,2666
20,2736
20,2989
20,3219
20,3246
20,3261
20,3331
20,3514
21,1966
22,157
22,306
22,860
22,3762
23,24
23,58
23,350
23,633
23,987
24,767
25,470
25,741
25,767
25,1153
25,1550
26,83
26,92
26,1809
27,587
27,759
27,1031
27,2028
28,50
28,255
28,480
28,1256
28,1522
28,2237
29,83
29,86
29,91
29,102
29,652
29,677
29,712
29,818
29,982
29,1026
29,1127
29,3240
30,477
30,1005
30,1028
30,1505
31,54
31,63
31,270
31,291
31,299
31,894
31,970
32,49
32,142
32,295
33,466
33,666
33,931
33,2084
33,2689
34,742
34,863
34,912
34,3243
34,3319
35,171
35,602
35,603
35,1053
35,1634
35,1676
35,1913
35,2322
36,224
36,310
36,552
36,2214
37,155
37,615
37,2039
37,2106
37,3584
38,310
39,156
39,177
39,209
39,626
39,863
39,1176
39,1191
39,1573
40,84
40,350
40,657
40,744
40,1225
40,1602
40,2758
40,2792
41,1558
41,3120
42,211
43,139
43,401
43,633
43,663
43,985
44,1304
44,2490
44,2927
45,223
45,428
45,520
45,531
45,767
45,1313
46,384
46,3422
47,57
47,72
47,89
47,1101
47,1256
48,219
48,370
49,77
49,81
49,93
49,133
49,142
49,171
49,318
49,462
49,474
49,539
49,603
49,851
49,860
49,1296
49,1853
49,2005
49,2113
49,2278
49,3895
50,164
50,480
50,1522
51,129
51,588
51,1505
51,3007
52,3518
53,610
53,2765
54,71
54,260
54,312
54,609
54,863
54,894
54,1480
54,1869
54,2728
54,3032
54,3204
